UNIQUE_ID,Hire
120075759,1
120606170,1
121280206,1
121638744,1
121734656,0
121953360,1
122181336,1
122369165,0
122486436,1
122558527,1
122590365,1
122773960,1
122810275,1
122813298,1
122883674,0
123005167,1
123076985,1
123172385,1
123184668,1
123305025,0
123437967,1
123852080,1
124007943,1
124621507,1
124627996,0
124682173,1
124901647,0
124928398,0
124985082,1
125028230,1
125092751,1
125133995,1
125203157,1
125237367,0
125329969,0
125354354,0
125388949,0
125521028,1
125594054,1
125637261,1
125652130,1
125736637,1
125746000,0
125857499,1
125984614,1
126007443,1
126081686,1
126151038,1
126186263,1
126237468,1
128056006,1
128131161,0
128532209,1
128601644,1
128668065,1
129090216,1
129161617,1
129236840,0
129477105,0
130673714,1
133910211,1
221400030,1
223699200,1
223891829,1
226381273,1
226725426,1
227117606,1
228365169,0
228411684,1
228615774,1
229824893,1
229905162,1
229966157,1
229984071,1
229999012,0
230044120,0
230177111,1
230257297,0
230276302,0
230510806,0
230702492,1
230765516,0
230879656,1
230985504,1
231025818,0
231047809,1
231316963,0
231415841,0
231577651,1
231595625,1
231615474,1
231733959,0
231855156,1
232121707,1
232228141,1
232295671,1
232300072,1
232320128,0
232417855,1
232425493,1
232439390,1
232487774,0
232579258,1
232621120,1
232817673,0
233048109,1
233098238,0
233207928,1
233243321,1
233263815,0
233953832,1
233968011,1
233995410,0
234317947,1
234416884,1
234569735,0
234596175,1
234622756,1
234625315,1
234923118,1
234973763,0
235093889,1
235137680,1
235264448,1
235384583,1
235440469,0
235475168,1
235501020,1
235562614,1
235593398,0
235890812,1
235895677,1
235944592,1
236045848,1
236247410,1
236248808,1
236256324,1
236428235,1
236698490,0
236796233,1
237271787,1
237637272,1
237781221,1
237890259,1
237976547,1
238101308,1
238233850,1
238256517,1
238279727,0
238425165,0
238465003,0
238470359,1
238475118,1
238585319,1
238621378,1
238696423,1
238720469,1
238849888,1
238872295,1
239016741,1
239031344,1
239067290,1
239173408,0
239280277,1
239394100,0
239426977,1
239439734,1
239470277,1
239474138,1
239474933,1
239510958,1
239512149,1
239567941,0
239583219,1
239598404,1
239601948,0
239610576,0
239634464,0
239652052,1
239789003,0
240008381,1
240019554,1
240061250,1
240065100,1
240101779,1
240204764,1
240261278,1
240271624,1
240362379,1
240384991,1
240552346,1
240552567,0
240572063,1
240626947,1
240674542,1
240764806,1
240788520,1
240843434,0
240880229,0
241013620,0
241092454,1
241109731,0
241220162,0
241255734,1
241335589,1
241338401,1
241373224,1
241411185,1
241427297,1
241462525,1
241500563,0
241553650,1
241584254,0
241590422,0
241596047,1
